year,id,regional_unit,pre_county_id,post_county_id,reform_type,population,pre_name,post_name
1967,03/1967/0001,Gemeinde,03135,03112,2,165,Wettbergen,"Hannover, Landeshauptstadt               "
1967,03/1967/0006,Gemeinde,03241,03239,2,31,Lerbach,Freiheit
1967,05/1967/0001,Gemeinde,05213,05613,2,183,"Essen, Stadt","Gelsenkirchen, Stadt"
1967,05/1967/0001,Gemeinde,05613,05213,2,30,"Gelsenkirchen, Stadt","Essen, Stadt"
1967,06/1967/0004,Gemeinde,06343,06138,1,1303,Kinzenbach,Heuchelheim
1967,08/1967/0005,Gemeinde,08446,08336,2,12,"Tuttlingen, Stadt","Singen (Hohentwiel), Stadt"
1967,09/1967/0008,Gemeinde,09239,09233,2,5,Niederhöcking,Mamming
1967,09/1967/0015,Gemeinde,09436,09513,1,402,Kosbach,"Erlangen, Stadt"
1967,09/1967/0017,Gemeinde,09545,09542,2,234,Regelsbach,Stein b. Nürnberg
1967,09/1967/0024,Gemeinde,09149,09116,1,1163,Happing,"Rosenheim, Stadt"
1968,03/1968/0002,Gemeinde,03311,03332,2,22,"Celle, Stadt",Westercelle
1968,03/1968/0009,Gemeinde,03135,03112,2,200,Wettbergen,"Hannover, Landeshauptstadt               "
1968,03/1968/0018,Gemeinde,03241,03239,2,3,"Harz (Landkreis Zellerfeld), gemfr. Gebiet","Bad Lauterberg im Harz, Stadt"
1968,03/1968/0020,Gemeinde,03332,03311,1,311,Boye,"Celle, Stadt"
1968,stba/1968/0001,Gemeinde,03237,06238,2,19,Escherode,Nieste
1968,stba/1968/0002,Gemeinde,06236,03237,2,42,"Gutsbezirk Reinhardswald, gemfr. Gebiet","Münden, Stadt"
1968,stba/1968/0003,Gemeinde,03238,06236,2,87,"Lauenförde, Flecken","Karlshafen, Stadt"
1968,05/1968/0004,Gemeinde,05915,05941,2,84,"Hamm, Stadt",Pelkum
1968,05/1968/0004,Gemeinde,05941,05915,1,3686,Berge,"Hamm, Stadt"
1968,05/1968/0004,Gemeinde,05941,05915,1,2344,Westtünen,"Hamm, Stadt"
1968,05/1968/0004,Gemeinde,05941,05915,1,4974,Wiescherhöfen,"Hamm, Stadt"
1968,05/1968/0013,Gemeinde,05941,05919,1,851,Niederaden,"Lünen, Stadt"
1968,05/1968/0018,Gemeinde,05839,05842,2,27,Nauholz,Benfe
1968,06/1968/0001,Gemeinde,06113,06141,2,3,"Offenbach am Main, Stadt",Heusenstamm
1968,06/1968/0001,Gemeinde,06141,06113,2,10,"Heusenstamm, Stadt","Offenbach am Main, Stadt"
1968,06/1968/0008,Gemeinde,06143,06114,2,16,"Großauheim, Stadt","Hanau, Stadt"
1968,06/1968/0021,Gemeinde,06237,06235,1,112,Glaam,Ransbach
1968,07/1968/0007,Gemeinde,07540,07543,1,381,Wallhalben,Wallhalben-Oberhausen
1968,08/1968/0001,Gemeinde,08147,08113,2,4,Einsingen,"Ulm, Stadt"
1968,08/1968/0005,Gemeinde,08145,08136,2,10,Waldhausen,Börtlingen
1968,09/1968/0001,Gemeinde,09142,09113,2,34,Mailing,"Ingolstadt, Stadt"
1968,09/1968/0003,Gemeinde,09211,09232,2,2,"Deggendorf, Stadt",Deggenau
1968,09/1968/0011,Gemeinde,09436,09435,2,7,Hemhofen,Oesdorf
1969,01/1969/0001,Gemeinde,01133,01113,2,25,Ratekau,"Lübeck, Hansestadt"
1969,stba/1969/0001,Gemeinde,03411,02000,2,81,"Cuxhaven, Stadt","Hamburg, Freie und Hansestadt"
1969,05/1969/0001,Gemeinde,05139,05115,2,33,"Opladen, Stadt","Leverkusen, Stadt"
1969,05/1969/0001,Gemeinde,05115,05139,2,480,"Leverkusen, Stadt","Opladen, Stadt"
1969,05/1969/0002,Gemeinde,05832,05831,1,627,Küntrop,"Neuenrade, Stadt"
1969,05/1969/0002,Gemeinde,05835,05831,1,2367,Evingsen,"Altena, Stadt"
1969,05/1969/0044,Gemeinde,05138,05238,1,1433,Flüren,"Wesel, Stadt"
1969,05/1969/0046,Gemeinde,05432,05333,1,526,Wissersheim,"Erftstadt, Stadt"
1969,05/1969/0049,Gemeinde,05436,05333,1,479,Nöthen,"Münstereifel, Bad, Stadt"
1969,05/1969/0049,Gemeinde,05436,05333,1,352,Hohn,"Münstereifel, Bad, Stadt"
1969,05/1969/0051,Gemeinde,05838,05335,2,38,"Drolshagen, Stadt","Bergneustadt, Stadt"
1969,05/1969/0086,Gemeinde,05532,05840,1,2480,Lippborg,Lippetal
1969,05/1969/0086,Gemeinde,05532,05840,1,2424,Herzfeld,Lippetal
1969,05/1969/0086,Gemeinde,05941,05840,1,528,Sönnern,"Werl, Stadt"
1969,05/1969/0086,Gemeinde,05832,05840,1,1064,Echthausen,Wickede (Ruhr)
1969,05/1969/0086,Gemeinde,05835,05840,1,840,Wimbern,Wickede (Ruhr)
